테이블ID,상품군,컬럼명,PK,타입,한글명,한글명_출처,설명,동의어,단위_포맷_규칙,신뢰도,검증상태,출처
PREF01N001,국내ETF,pd_net_ast_pshr,,numeric,주당 순자산,스키마 제공,,,예시값: 0.00,high,,
PREF01N001,국내ETF,pd_net_prft_pshr,,numeric,주당 순이익,스키마 제공,,,예시값: 0.00,high,,
PREF01N001,국내ETF,pd_net_rt_ast_pshr,,numeric,주당 순자산비율,스키마 제공,,,예시값: 0.00,high,,
PREF01N001,국내ETF,pd_net_tamt,,numeric,순자산총액,스키마 제공,,,예시값: 61716390155.00,high,,
PREF01N001,국내ETF,pd_nm,,text,상품명,스키마 제공,,,예시값: 미래에셋 TIGER NVDA-UST커버드콜증권상장지수투자신탁(채권혼합-파생재간접형)(합성),high,,
PREF01N001,국내ETF,pd_pen_risk_nm,,text,연금거래위험구분,스키마 제공,,,예시값: 안전자산,high,,
PREF01N001,국내ETF,pd_pen_tr_yn,,text,연금거래가능여부,스키마 제공,,,예시값: Y,high,,
PREF01N001,국내ETF,pd_risk_cd,,text,상품등급코드,스키마 제공,,,예시값: PD_RISK_GCD_13,high,,
PREF01N001,국내ETF,pd_risk_nm,,text,상품등급명,스키마 제공,,,예시값: 다소높은위험(3등급),high,,
PREF01N001,국내ETF,pd_sale_yn,,text,상품판매여부,스키마 제공,,,예시값: 1,high,,
PREF01N001,국내ETF,pd_sect_cd,,text,ETF 섹터코드,스키마 제공,,,예시값: 2,high,,
PREF01N001,국내ETF,pd_sect_nm,,text,ETF 섹터명,스키마 제공,,,,high,,
PREF01N001,국내ETF,pd_spac_yn,,text,SPAC 여부,스키마 제공,,,예시값: N,high,,
PREF01N001,국내ETF,pd_stk_cnt,,numeric,상장주식수,스키마 제공,,,예시값: 6150000.00,high,,
PREF01N001,국내ETF,pd_tr_yn,,text,상품거래정지혀부,스키마 제공,,,예시값: 0,high,,
PREF01N001,국내ETF,ru_mkt_price,,numeric,현재가,스키마 제공,,,예시값: 0.00,high,,
PREF01N001,국내ETF,ru_mkt_volume,,numeric,거래량,스키마 제공,,,예시값: 0.00,high,,
PREF01N001,국내ETF,wu_core_yn,,text,핵심ETF여부,스키마 제공,,,,high,,
PREF01N001,국내ETF,wu_inv_ast_type,,text,투자자산군,스키마 제공,,,,high,,
PREF01N001,국내ETF,wu_inv_rgn,,text,투자지역,스키마 제공,,,,high,,
PREF01N001,국내ETF,wu_upt_dt,,text,주간갱신일자,스키마 제공,,,,high,,
PREF02N001,해외ETF,cu_base_index,,text,기초지수,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,cu_charge_rt,,numeric,총보수요율,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,cu_etn_yn,,text,ETN여부,약어 해석(추정),상장지수증권(ETN) 여부. 값이 있는 59건만 Y이며 NULL은 N으로 해석(플래그성 컬럼).,ETN;상장지수증권,"Y만 존재, NULL=N 규칙",high,,
PREF02N001,해외ETF,cu_fund_mgmt_co,,text,운용사,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,cu_index_repl_mthd,,text,지수복제방식,약어 해석(추정),"기초지수 복제 방식. Optimized(부분복제·최적화), Full(완전복제), Swap(스왑 합성복제), Other(기타).",복제방식;실물복제;합성복제;완전복제,"Optimized/Swap/Full/Other, 결측 58.2%",high,,
PREF02N001,해외ETF,cu_index_tracking_yn,,text,지수추종여부,약어 해석(추정),패시브 지수추종 상품 여부. Y만 존재하며 NULL은 액티브 등 비추종으로 해석 필요(결측 58.2%와 동시 발생 유의).,패시브;인덱스추종;지수추종,"Y만 존재, NULL 해석 주의",medium,,
PREF02N001,해외ETF,cu_inverse_short_yn,,text,인버스여부,약어 해석(추정),"인버스(역방향) 상품 여부. 값이 있는 171건만 Y, NULL은 N으로 해석(플래그성 컬럼).",인버스;숏;역방향,"Y만 존재, NULL=N 규칙",high,,
PREF02N001,해외ETF,cu_lev_fector,,numeric,배수,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,cu_strtegy,,text,운용전략,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,cu_upt_dt,,text,변동갱신일자,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_base_dt_match_yn,,text,기준일자일치여부,약어 해석(추정),가격(종가) 기준일과 NAV 기준일의 일치 여부로 추정. 거의 전 종목 N.,기준일 일치,Y/N,low,,
PREF02N001,해외ETF,du_bpr,,numeric,기준가,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_clpr,,numeric,종가,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_clpr_base_dt,,text,종가기준일자,약어 해석(추정),종가(du_clpr)가 산출된 기준 일자.,종가 기준일,날짜 텍스트,high,,
PREF02N001,해외ETF,du_clpr_src,,text,종가데이터출처,약어 해석(추정),종가 값의 원천 시스템 경로(내부 테이블명). 전 행 동일값 'pd65n101.tday_clpr'.,데이터 출처,내부 시스템 경로,high,,
PREF02N001,해외ETF,du_diff_rt,,numeric,괴리율,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_er_1d,,numeric,수익률_1D,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_hpr,,numeric,고가,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_last_aum,,numeric,최종AUM,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_last_nav,,numeric,최종NAV,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_lpr,,numeric,시가,국내ETF 스키마 교차참조,교차참조 한글명 '시가'는 lpr=low price(저가)의 오기 가능성 있음. 8/6 확인 필요.,,,medium,,
PREF02N001,해외ETF,du_nav_base_dt,,timestamp without time zone,NAV기준일자,약어 해석(추정),최종 NAV(du_last_nav)가 산출된 기준 일자.,NAV 기준일;기준가 일자,timestamp,high,,
PREF02N001,해외ETF,du_opr,,numeric,시가(Open),약어 해석(추정),당일 시초가(open price). 주의: 국내ETF 스키마는 du_lpr을 '시가'로 제공하는데 hpr(고가)/lpr/opr 관행상 lpr은 저가(low)의 오기 가능성이 있어 8/6 확인 필요.,시가;시초가,가격(거래통화),medium,,
PREF02N001,해외ETF,du_upt_dt,,text,일간갱신일자,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_val_1d,,numeric,일거래대금,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,du_vol_1d,,numeric,일거래량,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_abrv_nm,,text,상품약어명,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_curr_cd,,text,상품통화코드,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_exg_mkt_cd,,text,거래소코드,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_grp_no,,text,상품군종류,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_isin_cd,,text,ISIN코드,약어 해석(추정),"국제증권식별번호(ISO 6166, 12자리).",ISIN;국제증권코드,12자리 코드,high,,
PREF02N001,해외ETF,pd_itm_no,PK,text,상품번호,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_itm_no_ma,,text,상품번호_미래에셋,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_lipper_id,,text,Lipper식별자,약어 해석(추정),LSEG Lipper(펀드 데이터 벤더)의 상품 식별자. 이 테이블의 cu_* 항목들이 Lipper 원천임을 시사한다.,Lipper ID;리퍼,텍스트 코드,high,,
PREF02N001,해외ETF,pd_lstg_dt,,text,상품거래가능일자,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_lst_price,,numeric,상품액면가,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_lst_stk_cnt,,numeric,상품상장주식수,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_mkt_id,,text,상품거래시장코드,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_nm,,text,상품명,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_sale_yn,,text,상품판매여부,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_trd_ccy,,text,거래통화,약어 해석(추정),실제 매매가 이루어지는 통화. 전량 USD.,거래통화;결제통화,ISO 4217,high,,
PREF02N001,해외ETF,pd_tr_yn,,text,상품거래정지혀부,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,pd_us_cik,,text,미국SEC CIK번호,약어 해석(추정),미국 증권거래위원회(SEC) EDGAR 공시 식별번호(Central Index Key).,CIK;SEC 번호,숫자 코드,high,,
PREF02N001,해외ETF,ru_mkt_price,,numeric,현재가,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,ru_mkt_volume,,numeric,거래량,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,wu_core_yn,,text,핵심ETF여부,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,wu_inv_ast_type,,text,투자자산군,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,wu_inv_rgn,,text,투자지역,국내ETF 스키마 교차참조,,,,high,,
PREF02N001,해외ETF,wu_upt_dt,,text,주간갱신일자,국내ETF 스키마 교차참조,,,,high,,
PRFD01N001,공모펀드,bmrk_eng_nm,,text,벤치마크영문명,스키마 제공,,,예시값: CALL,high,,
PRFD01N001,공모펀드,bmrk_nm,,text,벤치마크명,스키마 제공,,,예시값: CALL,high,,
PRFD01N001,공모펀드,curr_cd,,text,통화코드,스키마 제공,,,예시값: KRW,high,,
PRFD01N001,공모펀드,exchdg_yn,,text,환헤지여부,스키마 제공,,,예시값: N,high,,
PRFD01N001,공모펀드,fd_estb_ctry_cd,,text,펀드설립국가코드,스키마 제공,,,예시값: 000,high,,
PRFD01N001,공모펀드,fd_ivst_rgn_desc,,text,펀드투자지역구분코드 설명,스키마 제공,,,예시값: 국내,high,,
PRFD01N001,공모펀드,fd_mm18_ern_r,,numeric,펀드 18개월수익률,스키마 제공,,,예시값: 4.85,high,,
PRFD01N001,공모펀드,fd_mm1_ern_r,,numeric,펀드 1개월수익률,스키마 제공,,,예시값: 0.26,high,,
PRFD01N001,공모펀드,fd_mm3_ern_r,,numeric,펀드 3개월수익률,스키마 제공,,,예시값: 0.78,high,,
PRFD01N001,공모펀드,fd_mm6_ern_r,,numeric,펀드 6개월수익률,스키마 제공,,,예시값: 1.46,high,,
PRFD01N001,공모펀드,fd_nast_suma,,numeric,펀드 순자산,스키마 제공,,,예시값: 2390679722503.0000,high,,
PRFD01N001,공모펀드,fd_set_pcd,,text,펀드설정유형코드,스키마 제공,,,예시값: 10,high,,
PRFD01N001,공모펀드,fd_wk1_ern_r,,numeric,펀드 1주일수익률,스키마 제공,,,예시값: 0.09,high,,
PRFD01N001,공모펀드,fd_yr1_ern_r,,numeric,펀드 1년수익률,스키마 제공,,,예시값: 2.93,high,,
PRFD01N001,공모펀드,fd_yr2_ern_r,,numeric,펀드 2년수익률,스키마 제공,,,예시값: 6.93,high,,
PRFD01N001,공모펀드,fd_yr3_ern_r,,numeric,펀드 3년수익률,스키마 제공,,,예시값: 13.57,high,,
PRFD01N001,공모펀드,fd_yr5_ern_r,,numeric,펀드 5년수익률,스키마 제공,,,예시값: 18.87,high,,
PRFD01N001,공모펀드,frc_bpr_itm_yn,,text,외화기준가종목여부,스키마 제공,,,예시값: 0,high,,
PRFD01N001,공모펀드,fss_itm_no,,text,금융감독원종목번호,스키마 제공,,,예시값: 0010173C4558,high,,
PRFD01N001,공모펀드,hdge_fd_yn,,text,헤지펀드여부,스키마 제공,,,예시값: 0,high,,
PRFD01N001,공모펀드,int_dvd_desc,,text,이자배당구분코드 설명,스키마 제공,,,예시값: 배당,high,,
PRFD01N001,공모펀드,itm_abrv_nm,,text,종목약어명,스키마 제공,,,예시값: 삼성 베스트 MMF 법인 제1호,high,,
PRFD01N001,공모펀드,itm_eabrv_nm,,text,종목영문약어명,스키마 제공,,,예시값: KB China A-share Sec,high,,
PRFD01N001,공모펀드,itm_eng_nm,,text,종목영문명,스키마 제공,,,예시값: 삼성 베스트 MMF 법인 제1호,high,,
PRFD01N001,공모펀드,itm_nm,,text,종목명,스키마 제공,,,예시값: 삼성 베스트 MMF 법인 제1호,high,,
PRFD01N001,공모펀드,itm_no,PK,text,종목번호,스키마 제공,,,예시값: KR5014410050,high,,
PRFD01N001,공모펀드,kofia_fd_ccd,,text,금융투자협회펀드분류코드,스키마 제공,,,예시값: 1EE11Z1200101ZZZZZZ6,high,,
PRFD01N001,공모펀드,ksd_itm_no,,text,예탁원종목번호,스키마 제공,,,예시값: KRZ500626190,high,,
PRFD01N001,공모펀드,mtco_itm_no,,text,운용사종목번호,스키마 제공,,,예시값: 0109913,high,,
PRFD01N001,공모펀드,ofsfd_yn,,text,역외펀드여부,스키마 제공,,,예시값: 0,high,,
PRFD01N001,공모펀드,or_attr_desc,,text,운용속성구분코드 설명,스키마 제공,,,예시값: MMF,high,,
PRFD01N001,공모펀드,or_co_xtn_itt_cd,,text,운용회사대외기관코드,스키마 제공,,,예시값: 00040010,high,,
PRFD01N001,공모펀드,ovrs_fd_desc,,text,해외펀드구분코드 설명,스키마 제공,,,예시값: 국내,high,,
PRFD01N001,공모펀드,pers_corp_desc,,text,개인법인구분코드 설명,스키마 제공,,,예시값: 법인,high,,
PRFD01N001,공모펀드,pfiv_sale_cntl_tcd,,text,전문투자자판매제어구분코드,스키마 제공,,,예시값: 00,high,,
PRFD01N001,공모펀드,prfd_attr_cd,PK,text,펀드별속성코드,스키마 제공,,,예시값: V101,high,,
PRFD01N001,공모펀드,prvo_fd_desc,,text,사모펀드구분코드 설명,스키마 제공,,,예시값: 해당없음,high,,
PRFD01N001,공모펀드,prvo_pbff_desc,,text,사모/공모구분코드 설명,스키마 제공,,,예시값: 공모,high,,
PRFD01N001,공모펀드,rptt_ksd_itm_no,,text,대표예탁원종목번호,스키마 제공,,,예시값: 030200109913,high,,
PRFD01N001,공모펀드,sale_yn,,text,판매여부,스키마 제공,,,예시값: 판매중,high,,
PRFD01N001,공모펀드,std_itm_no,,text,표준종목번호,스키마 제공,,,예시값: KR5214272621,high,,
PRFD01N001,공모펀드,thco_sale_yn,,text,당사판매여부,스키마 제공,,,예시값: Y,high,,
PRFD01N001,공모펀드,trusc_xtn_itt_cd,,text,수탁회사대외기관코드,스키마 제공,,,예시값: 00050004,high,,
PRFD01N001,공모펀드,zrin_fd_ivst_risk_gcd,PK,text,제로인펀드투자위험등급코드,스키마 제공,,,예시값: 6,high,,
PRFD01N001,공모펀드,zrin_fd_ivst_risk_grd_nm,,text,제로인펀드투자위험등급명,스키마 제공,,,예시값: 매우 낮은 위험,high,,
