상품군,컬럼,값,건수,고유값수,의미,동의어,정규화_규칙,신뢰도,출처
국내채권,CURR_CD,KRW,42372,5,"ISO 4217 통화코드로 대한민국의 법정통화인 원(Won)을 의미. 국내채권 CURR_CD의 99.9%(42,372건), 공모펀드 curr_cd, 국내ETF pd_curr_cd(CURR_CD_KRW 형태)의 기본 통화.",원;원화;한국원;한국 원화;대한민국 원;₩;KRW,"ISO 4217 alpha-3 코드, 숫자코드 410, 소수 자릿수 0(보조단위 없음)",high,https://www.iso.org/iso-4217-currency-codes.html
국내채권,CURR_CD,USD,19,5,"ISO 4217 통화코드로 미국 달러(US Dollar). 해외ETF의 거래통화(pd_trd_ccy)·기준통화(pd_curr_cd 5,637건), 국내채권 외화표시 19건, 공모펀드 일부 클래스에 등장.",달러;미국달러;달러화;미 달러;US달러;불;$;USD,"ISO 4217 alpha-3 코드, 숫자코드 840, 소수 자릿수 2(센트)",high,https://www.iso.org/iso-4217-currency-codes.html
국내채권,CURR_CD,EUR,1,5,ISO 4217 통화코드로 유로존 공동통화 유로(Euro). 국내채권 CURR_CD에 1건 존재(유로화 표시 채권).,유로;유로화;EUR;€,"ISO 4217 alpha-3 코드, 숫자코드 978, 소수 자릿수 2",high,https://www.iso.org/iso-4217-currency-codes.html
국내채권,CURR_CD,JPY,1,5,ISO 4217 통화코드로 일본 엔(Yen). 국내채권 CURR_CD에 1건 존재(엔화 표시 채권).,엔;엔화;일본엔;일본 엔화;¥;JPY,"ISO 4217 alpha-3 코드, 숫자코드 392, 소수 자릿수 0",high,https://www.iso.org/iso-4217-currency-codes.html
국내채권,CURR_CD,000,1,5,,,,,
국내채권,PD_RISK_GCD,1,15950,7,,,,,
국내채권,PD_RISK_GCD,5,13696,7,,,,,
국내채권,PD_RISK_GCD,6,10408,7,,,,,
국내채권,PD_RISK_GCD,4,1938,7,,,,,
국내채권,PD_RISK_GCD,3,282,7,,,,,
국내채권,PD_RISK_GCD,2,62,7,,,,,
국내채권,PD_RISK_GCD,0,58,7,,,,,
국내채권,AVG_ANNUAL_TAX_YIELD,0,881,1,,,,,
국내채권,CRD_GRD,AAA,12240,20,"원리금 상환가능성이 최고 수준인 최상위 등급(한국신용평가 정의). rank=1, 투자등급. 3사 모두 AAA에는 +/- 부호를 붙이지 않는다.",트리플에이;트리플A;최고등급;최상위등급,"rank=1; 투자등급; 데이터 표기 'AAA'(12,240건)",high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); 한국기업평가 등급정의(https://www.korearatings.com/cms/frCmnCon/index.do?MENU_ID=240)
국내채권,CRD_GRD,AA-,4939,20,"AA등급 내 상대적 열위(-). rank=4, 투자등급. 국내 회사채 시장에서 우량 등급의 하단으로 통용된다.",더블에이마이너스;AA마이너스,"rank=4; 투자등급; 데이터 표기 'AA-'(4,939건)",high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,AA+,3191,20,"원리금 상환가능성이 매우 높지만 AAA에 비해 다소 열위한 AA등급 중 상대적 우위(+). rank=2, 투자등급.",더블에이플러스;AA플러스,"rank=2; 투자등급; 데이터 표기 'AA+'(3,191건)",high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,AA0,1713,20,"CRD_GRD 원본 표기. 끝의 '0'은 +도 -도 아닌 무부호(플랫) 등급을 뜻하며 신용평가사 공식 표기로는 'AA'다. 관측 1,713건.",AA;AA플랫,정규화: AA0 → AA (rank=3),high,신용평가 3사 공식 표기(AA)와 데이터 표기 대조; 한국신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,A+,906,20,"원리금 상환가능성이 높지만 AA 대비 환경변화에 영향을 받기 쉬운 A등급 중 상대적 우위(+). rank=5, 투자등급.",싱글에이플러스;A플러스,rank=5; 투자등급; 데이터 표기 'A+'(906건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,A0,904,20,CRD_GRD 원본 표기로 무부호 A등급. 관측 904건.,A;A플랫,정규화: A0 → A (rank=6),high,신용평가 3사 공식 표기(A)와 데이터 표기 대조
국내채권,CRD_GRD,A-,345,20,"A등급 내 상대적 열위(-). rank=7, 투자등급.",싱글에이마이너스;A마이너스,rank=7; 투자등급; 데이터 표기 'A-'(345건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,BBB+,206,20,"원리금 상환가능성이 일정수준 인정되나 환경변화에 따라 저하 가능성이 있는 BBB등급 중 상대적 우위(+). rank=8, 투자등급.",트리플비플러스;BBB플러스,rank=8; 투자등급; 데이터 표기 'BBB+'(206건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,C0,137,20,"CRD_GRD 원본 표기로 무부호 C등급. 관측 137건으로 하위등급 중 이례적으로 많아, 실제 C등급 채권인지 별도 의미의 코드인지 표본 확인이 필요하다.",C,정규화: C0 → C (rank=19),medium,신용평가사 공식 표기(C)와 데이터 표기 대조(건수 이례성은 미확인)
국내채권,CRD_GRD,BBB0,116,20,CRD_GRD 원본 표기로 무부호 BBB등급. 관측 116건.,BBB;BBB플랫,정규화: BBB0 → BBB (rank=9),high,신용평가 3사 공식 표기(BBB)와 데이터 표기 대조
국내채권,CRD_GRD,BB0,10,20,CRD_GRD 원본 표기로 무부호 BB등급. 관측 10건.,BB;BB플랫,정규화: BB0 → BB (rank=12),high,신용평가 3사 공식 표기(BB)와 데이터 표기 대조
국내채권,CRD_GRD,BB-,9,20,"BB등급 내 상대적 열위(-). rank=13, 투기등급.",더블비마이너스,rank=13; 투기등급; 데이터 표기 'BB-'(9건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,BBB-,8,20,"투자등급(투자적격)의 최하단 등급. rank=10이며, 이보다 낮으면(BB+ 이하) 투기등급으로 분류된다.",트리플비마이너스;투자적격 하한;투자등급 경계,rank=10; 투자등급 하한(경계); 데이터 표기 'BBB-'(8건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do)
국내채권,CRD_GRD,B-,8,20,"B등급 내 상대적 열위(-). rank=16, 투기등급.",싱글비마이너스,rank=16; 투기등급; 데이터 표기 'B-'(8건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,B+,6,20,"상환가능성 불확실성이 상당하여 BB보다 투기적 요소가 큰 B등급 중 상대적 우위(+). rank=14, 투기등급.",싱글비플러스,rank=14; 투기등급; 데이터 표기 'B+'(6건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,B0,5,20,CRD_GRD 원본 표기로 무부호 B등급. 관측 5건.,B;B플랫,정규화: B0 → B (rank=15),high,신용평가 3사 공식 표기(B)와 데이터 표기 대조
국내채권,CRD_GRD,BB+,4,20,"투기등급의 최상단. 원리금 상환가능성에 불확실성이 내포된 BB등급 중 상대적 우위(+). rank=11, 투기등급.",더블비플러스;투기등급 상단,rank=11; 투기등급; 데이터 표기 'BB+'(4건),high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내채권,CRD_GRD,CCC,1,20,"채무불이행의 위험 수준이 높고 원리금 상환가능성이 의문시된다(한국신용평가 정의). rank=17, 투기등급. 한신평·한기평은 CCC에 부호를 붙이지 않으나 NICE신용평가는 CCC까지 +/-를 부가하므로 CCC+/CCC-가 존재할 수 있다.",트리플씨;CCC0,"rank=17; 투기등급; 데이터 표기 'CCC'(1건, 0 접미사 없음)",high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf); NICE신용평가 장기신용등급(https://www.nicerating.com/disclosure/longTermGrade.do)
국내채권,CRD_GRD,CC0,1,20,CRD_GRD 원본 표기로 무부호 CC등급. 관측 1건.,CC,정규화: CC0 → CC (rank=18),high,신용평가 3사 공식 표기(CC)와 데이터 표기 대조
국내채권,CRD_GRD,C,1,20,"채무불이행의 위험 수준이 극히 높고 원리금 상환가능성이 없다(한국신용평가 정의). rank=19, 투기등급. 부호(+/-) 없이 사용된다.",씨등급;C0,rank=19; 투기등급; 데이터에서는 'C0'(137건)과 'C'(1건)로 혼재 → 정규화 시 C,high,한국신용평가 신용평가 기호 및 정의(https://kisrating.com/fileDown.do?menuCd=R7&gubun=I&fileName=rm20241226-1.pdf)
국내ETF,cu_base_index,종합채권 3개월~1년,14,19,"국내 채권 전체를 포괄하는 종합채권지수의 잔존만기 3개월~1년 구간 하위지수로, 단기채권형 ETF의 벤치마크 표기다. 국내 종합채권지수는 KAP(한국자산평가)·KIS자산평가·매경-KAP 등이 산출하는데, 이 표기가 어느 기관 지수인지(또는 펀드평가사 KG제로인의 자체 BM 표기인지)는 웹에서 확정하지 못했다.",종합채권지수; 단기 종합채권; 종합채권 1~2년; 종합채권 3M~1Y; KIS종합채권; KAP종합채권,"동일 계열 표기: '종합채권 1~2년'(6건), '종합채권03Y 90%'(1건), '종합채권01Y'(혼합 BM 내)",low,KAP: https://www.koreaap.com/kor/index_pe01_01.html / KIS: https://www.bond.co.kr/conts/10049 (기관 특정 불가)
국내ETF,cu_base_index,KOSPI200,9,19,한국거래소(KRX)가 유가증권시장 상장종목 중 시장대표성·유동성·업종대표성을 기준으로 선정한 200종목을 유동주식 시가총액가중으로 산출하는 한국 주식시장의 대표 지수다. 국내 주가지수 선물·옵션과 다수 ETF의 기초지수다.,코스피200; 코스피 200; KOSPI 200; K200; 코스피이백,1990.1.3=100 기준,high,https://ko.wikipedia.org/wiki/%EC%BD%94%EC%8A%A4%ED%94%BC_200 (KRX 산출)
국내ETF,cu_base_index,MSCI ACWI,6,19,"선진국 23개국과 신흥국 시장을 모두 포함하는 MSCI의 전세계 대·중형주 지수다. 데이터에 'MSCI AC World NR USD'(해외ETF 19건), 'MSCI ACWI'(국내ETF 6건) 등으로 표기가 갈리므로 동일 지수로 정규화해야 한다.",MSCI AC World; 엠에스씨아이 전세계; 전세계 주식; 글로벌 주식지수; ACWI; MSCI ACWI CR; MSCI AC World NR USD; 올컨트리,,high,https://www.msci.com/indexes (MSCI ACWI Index factsheet)
국내ETF,cu_base_index,종합채권 1~2년,6,19,,,,,
국내ETF,cu_base_index,MSCI NORTH AMERICA,4,19,,,,,
국내ETF,cu_base_index,MSCI ACWI CR 50% + 종합채권01Y 50%,3,19,"MSCI 전세계 지수(가격 기준, CR)와 국내 종합채권 1년 구간 지수를 각각 50% 가중으로 합성한 자산배분형(주식혼합·채권혼합) ETF의 벤치마크 표기다. 정규화 시 두 구성 지수와 가중치로 분해해 저장해야 한다.",주식채권 혼합 벤치마크; 자산배분 BM; 50대50 혼합,'지수A a% + 지수B b%' 파싱 규칙 적용,medium,제공 데이터 관측(3건) + MSCI ACWI/종합채권 각 entry 참조
국내ETF,cu_base_index,MSCI ACWI Information Technology,2,19,,,,,
국내ETF,cu_base_index,MSCI CHINA,2,19,,,,,
국내ETF,cu_base_index,KAP CD 6개월  90%,2,19,,,,,
국내ETF,cu_base_index,KRX 미디어통신,1,19,"한국거래소가 산출하는 KRX 섹터지수 시리즈 중 미디어·통신 업종 종목으로 구성된 지수다. KRX는 KRX300·섹터지수 등 1,000개 이상의 지수를 산출하며, 정확한 공식 지수명(예: KRX 미디어&엔터테인먼트)은 KRX 정보데이터시스템에서 확인이 필요하다.",KRX 미디어; KRX 통신; 미디어통신 섹터; 미디어엔터 지수,,medium,https://open.krx.co.kr/contents/OPN/02/02010100/OPN02010100.jsp
국내ETF,cu_base_index,MSCI ACWI Health Care,1,19,,,,,
국내ETF,cu_base_index,종합채권03Y 90%,1,19,,,,,
국내ETF,cu_base_index,iSelect K-REITs,1,19,"NH투자증권이 개발·발표하는 증권사 자체(private) 지수 브랜드 'iSelect'의 국내 상장 리츠 지수로, 경영 건전성·유동성 기준으로 선정한 리츠들을 시가총액가중으로 산출한다. 2019년 11월 PR형, 2020년 2월 배당 재투자를 반영한 TR형이 출시됐다.",아이셀렉트 K리츠; K-REITs 지수; 케이리츠; 국내 리츠 지수; NH 리츠지수,PR/TR 두 버전 존재,high,https://newsis.com/view/?id=NISX20200130_0000902524
국내ETF,cu_base_index,코스닥150 150%,1,19,,,,,
국내ETF,cu_base_index,MSCI EM (EMERGING MARKETS),1,19,,,,,
국내ETF,cu_base_index,KRX 300,1,19,,,,,
국내ETF,cu_base_index,DWGRTT 90%,1,19,,,,,
국내ETF,cu_base_index,Rogers International Commodity TR,1,19,"짐 로저스(Jim Rogers)가 1998년 만든 글로벌 원자재 지수로, 세계 소비 비중을 반영해 38개 원자재 선물로 구성되며 Beeland Interests가 소유하고 RICI 위원회가 연 1회 구성을 검토한다. 국내ETF 데이터에 1건 출현한다.",RICI; 로저스 원자재; 로저스 상품지수; 짐로저스 지수,블룸버그 심볼 ROGRTR(TR),high,https://www.beelandinterests.com/the-rici/
국내ETF,cu_base_index,제로인 대안투자기대수익지수,1,19,펀드평가사 KG제로인(펀드닥터 운영사)이 대안투자(부동산·인프라 등) 펀드의 성과평가용으로 부여하는 자체 벤치마크 지수로 추정된다. 공개 웹 문서에서 공식 정의·산출방법을 확인하지 못했다.,대안투자 기대수익; 제로인 BM; 대안투자 벤치마크,,low,KG제로인 펀드평가서비스: https://www.zeroin.co.kr/service/rating.do (지수 자체 정의는 미확인)
국내ETF,cu_charge_etc_rt,0,1553,1,,,,,
국내ETF,cu_charge_rt,0,150,17,,,,,
국내ETF,cu_charge_rt,0.4,21,17,,,,,
국내ETF,cu_charge_rt,0.49,19,17,,,,,
국내ETF,cu_charge_rt,0.52,10,17,,,,,
국내ETF,cu_charge_rt,0.15,4,17,,,,,
국내ETF,cu_charge_rt,0.35,2,17,,,,,
국내ETF,cu_charge_rt,0.08,1,17,,,,,
국내ETF,cu_charge_rt,0.1,1,17,,,,,
국내ETF,cu_charge_rt,0.59,1,17,,,,,
국내ETF,cu_charge_rt,0.19,1,17,,,,,
국내ETF,cu_charge_rt,0.09,1,17,,,,,
국내ETF,cu_charge_rt,0.37,1,17,,,,,
국내ETF,cu_charge_rt,0.16,1,17,,,,,
국내ETF,cu_charge_rt,0.2,1,17,,,,,
국내ETF,cu_charge_rt,0.64,1,17,,,,,
국내ETF,cu_charge_rt,0.07,1,17,,,,,
국내ETF,cu_charge_rt,0.26,1,17,,,,,
국내ETF,cu_lev_fector,1,1169,9,,,,,
국내ETF,cu_lev_fector,2,190,9,,,,,
국내ETF,cu_lev_fector,-2,105,9,,,,,
국내ETF,cu_lev_fector,-1,65,9,,,,,
국내ETF,cu_lev_fector,3,9,9,,,,,
국내ETF,cu_lev_fector,-3,7,9,,,,,
국내ETF,cu_lev_fector,-0.5,3,9,,,,,
국내ETF,cu_lev_fector,1.5,2,9,,,,,
국내ETF,cu_lev_fector,-1.5,1,9,,,,,
국내ETF,cu_strtegy,실물복제,745,4,,,,,
국내ETF,cu_strtegy,C,409,4,,,,,
국내ETF,cu_strtegy,액티브,343,4,,,,,
국내ETF,cu_strtegy,합성복제,82,4,,,,,
국내ETF,cu_upt_dt,20260615,1517,11,,,,,
국내ETF,cu_upt_dt,20260520,8,11,,,,,
국내ETF,cu_upt_dt,20260601,5,11,,,,,
국내ETF,cu_upt_dt,20260429,4,11,,,,,
국내ETF,cu_upt_dt,20260511,4,11,,,,,
국내ETF,cu_upt_dt,20260522,4,11,,,,,
국내ETF,cu_upt_dt,20260420,3,11,,,,,
국내ETF,cu_upt_dt,20260608,2,11,,,,,
국내ETF,cu_upt_dt,20260409,2,11,,,,,
국내ETF,cu_upt_dt,20260421,1,11,,,,,
국내ETF,cu_upt_dt,20260528,1,11,,,,,
국내ETF,du_chas_errt,0.00,1551,1,,,,,
국내ETF,du_diff_rt,0.00,1517,1,,,,,
국내ETF,du_upt_dt,2026-06-15 00:00:00,1517,1,,,,,
국내ETF,pd_curr_cd,CURR_CD_KRW,1732,2,,,,,
국내ETF,pd_curr_cd,CURR_CD_000,1,2,,,,,
국내ETF,pd_curr_nm,한국원화,1732,2,,,,,
국내ETF,pd_curr_nm,해당없음,1,2,,,,,
국내ETF,pd_divd_amt_pshr,0.00,1551,1,,,,,
국내ETF,pd_dvid_yield,0.00,1551,1,,,,,
국내ETF,pd_exg_mkt_cd,EXG_MKT_NO_001,1733,1,"국내ETF pd_exg_mkt_cd의 값으로, 한국거래소(KRX) 유가증권시장을 의미. KRX 증권상품(ETF·ETN·ELW)은 전부 유가증권시장에 상장되므로 국내ETF 1,734건이 모두 이 값을 갖는 것이 정상.",유가증권시장;코스피시장;KOSPI시장;거래소시장;유가증권,정규화 규칙: 'EXG_MKT_NO_' 접두어 제거 후 001=유가증권시장으로 매핑,high,https://open.krx.co.kr/contents/OPN/01/01030100/OPN01030100.jsp (KRX 증권상품시장 소개: ETF·ETN·ELW 거래) + 제공 데이터 관측
국내ETF,pd_exg_mkt_nm,유가증권,1733,1,,,,,
국내ETF,pd_grp_no,ETF,1202,2,,,,,
국내ETF,pd_grp_no,ETN,532,2,,,,,
국내ETF,pd_lst_price,0.00,1734,1,,,,,
국내ETF,pd_mkt_id,STK,1733,1,국내ETF pd_mkt_id의 값으로 KRX 유가증권시장(Stock Market)을 가리키는 시장 ID. 해외ETF의 pd_mkt_id=US(미국)와 동일 계열의 상장시장 구분 필드.,유가증권시장;국내 주식시장;KRX 주식시장,"STK=한국 유가증권시장, US=미국 시장",high,제공 데이터 관측 + https://www.iotafinance.com/en/Detail-view-MIC-code-XKRX.html (Korea Exchange Stock Market 명칭 대응)
국내ETF,pd_mkt_nm,유가증권,1733,1,,,,,
국내ETF,pd_net_ast_pshr,0.00,1551,1,,,,,
국내ETF,pd_net_prft_pshr,0.00,1551,1,,,,,
국내ETF,pd_net_rt_ast_pshr,0.00,1551,1,,,,,
국내ETF,pd_pen_risk_nm,위험자산,788,3,,,,,
국내ETF,pd_pen_risk_nm,N,732,3,,,,,
국내ETF,pd_pen_risk_nm,안전자산,214,3,,,,,
국내ETF,pd_pen_tr_yn,Y,1002,2,,,,,
국내ETF,pd_pen_tr_yn,N,732,2,,,,,
국내ETF,pd_risk_cd,PD_RISK_GCD_11,761,6,"국내ETF 투자위험등급 1등급. 레버리지·인버스, 파생형·고변동성 ETF가 주로 해당하며 관측 761건으로 최다이다.",매우 높은 위험; 초고위험 ETF,→ 1등급,high,제공 데이터; 금융위 가이드라인(레버리지·인버스 ETF 1등급 상향 조항)
국내ETF,pd_risk_cd,PD_RISK_GCD_12,667,6,국내ETF 투자위험등급 2등급(관측 667건). 일반 주식형(지수추종) ETF가 주로 해당한다.,높은 위험,→ 2등급,high,제공 데이터; 금융위 가이드라인 명칭 체계
국내ETF,pd_risk_cd,PD_RISK_GCD_15,115,6,국내ETF 투자위험등급 5등급(관측 115건). 우량 채권형 ETF 등이 해당한다.,낮은 위험,→ 5등급,high,제공 데이터; 금융위 가이드라인 명칭 체계
국내ETF,pd_risk_cd,PD_RISK_GCD_14,86,6,국내ETF 투자위험등급 4등급(관측 86건). 채권혼합형·장기채권형 등이 해당한다.,보통 위험,→ 4등급,high,제공 데이터; 금융위 가이드라인 명칭 체계
국내ETF,pd_risk_cd,PD_RISK_GCD_13,84,6,국내ETF 투자위험등급 3등급(관측 84건). 혼합형·저변동 주식형 등이 해당한다.,다소 높은 위험,→ 3등급,high,제공 데이터; 금융위 가이드라인 명칭 체계
국내ETF,pd_risk_cd,PD_RISK_GCD_16,21,6,국내ETF 투자위험등급 6등급(관측 21건). 단기 국공채·머니마켓(파킹형) ETF 등이 해당한다.,매우 낮은 위험; 초저위험,→ 6등급,high,제공 데이터; 금융위 가이드라인 명칭 체계
국내ETF,pd_risk_nm,매우높은위험(1등급),761,6,,,,,
국내ETF,pd_risk_nm,높은위험(2등급),667,6,,,,,
국내ETF,pd_risk_nm,낮은위험(5등급),115,6,,,,,
국내ETF,pd_risk_nm,보통위험(4등급),86,6,,,,,
국내ETF,pd_risk_nm,다소높은위험(3등급),84,6,,,,,
국내ETF,pd_risk_nm,매우낮은위험(6등급),21,6,,,,,
국내ETF,pd_sale_yn,1,1520,2,,,,,
국내ETF,pd_sale_yn,0,214,2,,,,,
국내ETF,pd_sect_cd,2,1126,5,,,,,
국내ETF,pd_sect_cd,3,406,5,,,,,
국내ETF,pd_sect_cd,8,16,5,,,,,
국내ETF,pd_sect_cd,9,2,5,,,,,
국내ETF,pd_sect_cd,4,1,5,,,,,
국내ETF,pd_spac_yn,N,1551,1,,,,,
국내ETF,pd_tr_yn,0,1661,2,,,,,
국내ETF,pd_tr_yn,1,72,2,,,,,
국내ETF,wu_core_yn,N,1646,2,,,,,
국내ETF,wu_core_yn,Y,88,2,,,,,
국내ETF,wu_inv_ast_type,주식,1069,8,,,,,
국내ETF,wu_inv_ast_type,채권,261,8,,,,,
국내ETF,wu_inv_ast_type,원자재,207,8,,,,,
국내ETF,wu_inv_ast_type,혼합자산,78,8,,,,,
국내ETF,wu_inv_ast_type,단기자금,42,8,,,,,
국내ETF,wu_inv_ast_type,통화,41,8,,,,,
국내ETF,wu_inv_ast_type,부동산,18,8,,,,,
국내ETF,wu_inv_ast_type,기타,18,8,,,,,
국내ETF,wu_inv_rgn,국내,1036,11,,,,,
국내ETF,wu_inv_rgn,미국,453,11,,,,,
국내ETF,wu_inv_rgn,글로벌,76,11,,,,,
국내ETF,wu_inv_rgn,중국,63,11,,,,,
국내ETF,wu_inv_rgn,아시아,33,11,,,,,
국내ETF,wu_inv_rgn,일본,25,11,,,,,
국내ETF,wu_inv_rgn,인도,19,11,,,,,
국내ETF,wu_inv_rgn,남미/북미,12,11,,,,,
국내ETF,wu_inv_rgn,유럽,7,11,,,,,
국내ETF,wu_inv_rgn,베트남,5,11,,,,,
국내ETF,wu_inv_rgn,이머징/브릭스,5,11,,,,,
국내ETF,wu_upt_dt,20260615,1729,1,,,,,
해외ETF,cu_etn_yn,Y,59,1,,,,,
해외ETF,cu_index_repl_mthd,Optimized,1802,4,,,,,
해외ETF,cu_index_repl_mthd,Swap,289,4,,,,,
해외ETF,cu_index_repl_mthd,Full,263,4,,,,,
해외ETF,cu_index_repl_mthd,Other,6,4,,,,,
해외ETF,cu_index_tracking_yn,Y,2360,1,,,,,
해외ETF,cu_inverse_short_yn,Y,171,1,,,,,
해외ETF,cu_upt_dt,20260614,5646,1,,,,,
해외ETF,du_base_dt_match_yn,N,5636,1,,,,,
해외ETF,du_clpr_src,pd65n101.tday_clpr,5636,1,,,,,
해외ETF,du_diff_rt,3.297200,1,3,,,,,
해외ETF,du_diff_rt,8.117500,1,3,,,,,
해외ETF,du_diff_rt,37585.000000,1,3,,,,,
해외ETF,du_er_1d,0.000000,5388,1,,,,,
해외ETF,du_nav_base_dt,2026-06-14 00:00:00,5646,1,,,,,
해외ETF,pd_curr_cd,USD,5637,2,"ISO 4217 통화코드로 미국 달러(US Dollar). 해외ETF의 거래통화(pd_trd_ccy)·기준통화(pd_curr_cd 5,637건), 국내채권 외화표시 19건, 공모펀드 일부 클래스에 등장.",달러;미국달러;달러화;미 달러;US달러;불;$;USD,"ISO 4217 alpha-3 코드, 숫자코드 840, 소수 자릿수 2(센트)",high,https://www.iso.org/iso-4217-currency-codes.html
해외ETF,pd_curr_cd,INR,1,2,"ISO 4217 통화코드로 인도 루피(Indian Rupee). 해외ETF pd_curr_cd에 단 1건 존재하며, 미국 외 시장(인도) 관련 상품이거나 통화 필드 이상치일 가능성이 있어 개별 확인 필요.",루피;인도루피;인도 루피화;INR,"ISO 4217 alpha-3 코드, 숫자코드 356, 소수 자릿수 2",high,https://www.iso.org/iso-4217-currency-codes.html
해외ETF,pd_exg_mkt_cd,AMX,4241,5,"문자 그대로는 구 American Stock Exchange(AMEX, 현 NYSE American)를 뜻하나, 해외ETF 5,646건 중 4,241건(75%)이 AMX인 것은 현재 NYSE American 상장 ETF가 극소수라는 사실과 모순되므로, 구 AMEX가 미국 ETF 상장 중심지였다가 2008년 NYSE Euronext 인수 후 ETF가 NYSE Arca로 이관된 역사를 반영해 NYSE Arca 상장 ETP까지 'AMEX'로 묶어 표기하는 국내 증권사·데이터 벤더의 레거시 코드로 해석해야 함. 즉 QA 응답 시 'AMX = 사실상 NYSE Arca 등 미국 ETP 전용 거래소 상장'으로 안내하는 것이 안전.",아멕스;AMEX;American Stock Exchange;NYSE American;NYSE Arca(실질 포괄);뉴욕 아메리칸,표시용 권고: 'AMEX(현 NYSE American/NYSE Arca 계열)'로 병기,medium,"https://en.wikipedia.org/wiki/NYSE_American (2008년 NYSE Euronext 인수·ETF Arca 이관), https://www.nyse.com/markets/nyse-arca (ETF 2,200개 이상 상장·세계 최대 ETF 거래), https://securities.miraeasset.com/imf/600/imf102.do (미래에셋증권 미국시장 구분: NYSE/NYSE ARCA/NYSE AMEX/NASDAQ)"
해외ETF,pd_exg_mkt_cd,NAS,1296,5,"미국 나스닥 증권거래소(NASDAQ Stock Market) 상장을 의미하는 3문자 거래소 코드. 해외ETF 1,296건(QQQ 등 나스닥 상장 ETF).",나스닥;NASDAQ;나스닥거래소;나스닥 시장,MIC 대응: XNAS,high,"https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html (XNAS=NASDAQ), https://community.developers.lseg.com/discussion/47440 (LSEG/Refinitiv 3문자 거래소 약어 관행)"
해외ETF,pd_exg_mkt_cd,NYS,78,5,"New York Stock Exchange 본장 상장을 의미하는 3문자 거래소 코드. 해외ETF 78건으로 소수인데, 이는 NYSE 본장에는 ETF가 아닌 일부 ETP·폐쇄형펀드만 상장되고 대부분 ETF는 NYSE Arca에 상장되기 때문.",뉴욕증권거래소;뉴욕거래소;NYSE;빅보드,MIC 대응: XNYS,high,"https://www.onixs.biz/fix-dictionary/5.0.sp2/app_6_c.html (XNYS=New York Stock Exchange), https://community.developers.lseg.com/discussion/47440 (NYS=NYSE 약어)"
해외ETF,pd_exg_mkt_cd,102,22,5,"해외ETF pd_exg_mkt_cd에 22건 관측되는 숫자형 코드로, 공개 표준·벤더 문서에서 대응을 확인하지 못함. 101과 같은 원천 시스템 내부 코드 체계로 추정되며 확인 전까지 '거래소 미상'으로 처리 권고.",,확인 전 NULL 또는 '미상' 처리 권고,low,웹 검색으로 확인 불가 — 제공 데이터 스냅샷 관측(2026-07-11)만 존재
해외ETF,pd_exg_mkt_cd,101,9,5,"해외ETF pd_exg_mkt_cd에 9건 관측되는 숫자형 코드로, 공개된 표준(ISO 10383)이나 벤더 문서에서 대응을 확인하지 못함. 원천 시스템 내부 코드로 추정되며 확인 전까지 '거래소 미상'으로 처리 권고.",,확인 전 NULL 또는 '미상' 처리 권고,low,웹 검색으로 확인 불가 — 제공 데이터 스냅샷 관측(2026-07-11)만 존재
해외ETF,pd_grp_no,ETF,5587,2,,,,,
해외ETF,pd_grp_no,ETN,59,2,,,,,
